principal_kanonik,merek,merek_belum_dipanen,merek_teknis,situs,status_situs,jumlah_produk,resolusi_terbesar,jalan_pintas,catatan
PT.MITRA UTAMA MAKMUR,1,1,0,,belum-diperiksa,,,,
ABU NAWAS MEU ADAB,1,1,0,,belum-diperiksa,,,,
TEKNO ORGANIK PAPUA,1,1,0,,belum-diperiksa,,,,
WIBAWA MUKTI,1,1,0,,belum-diperiksa,,,,
CV. TUMBUH BERKEMBANG SEJAHTERA,1,1,0,,belum-diperiksa,,,,
CATUR INTI PERSADA,1,1,0,,belum-diperiksa,,,,
MEGAH AGRI MEDIA BAROKAH,1,1,0,,belum-diperiksa,,,,
CV. Bambu Emas,1,1,0,,belum-diperiksa,,,,
TIRTA MITRA PRATAMA,1,1,0,,belum-diperiksa,,,,
GAPOKTAN SUKA MAKMUR,1,1,0,,belum-diperiksa,,,,
MPS ORGANIK SUPER,1,1,0,,belum-diperiksa,,,,
SUMBER RAYA,1,1,0,,belum-diperiksa,,,,
WINNERS AVENUE SURABAYA,1,1,0,,belum-diperiksa,,,,
CLAREXINDO MAKMUR SEJAHTERA,1,1,0,,belum-diperiksa,,,,
PT. NUANSA INDORAYA PERKASA,1,1,0,,belum-diperiksa,,,,
ALAM KIMIA BLITZ PERKASA,1,1,0,,belum-diperiksa,,,,
NIAGA BERKAH ANUGRAH,1,1,0,,belum-diperiksa,,,,
CV. PUPUK AGRI MANDIRI,1,1,0,,belum-diperiksa,,,,
CV. Subur Makmur Nusantara,1,1,0,,belum-diperiksa,,,,
AGRO GEMILANG INDONESIA,1,1,0,,belum-diperiksa,,,,
AGRO LESTARI JAYA,1,1,0,,belum-diperiksa,,,,
INTI MINERAL INDUSTRI,1,1,0,,belum-diperiksa,,,,
BATARAGENI KARYA MANDIRI,1,1,0,,belum-diperiksa,,,,
MULTI AGRINDO NUSANTARA,1,1,0,,belum-diperiksa,,,,
PERDANA AGRO PERSADA,1,1,0,,belum-diperiksa,,,,
AGRO INDO MANDIRI,1,1,0,,belum-diperiksa,,,,
CV.UTAMA KARYA TANI,1,1,0,,belum-diperiksa,,,,
MENTHOBI HIJAU LESTARI,1,1,0,,belum-diperiksa,,,,
TRI HARMONI ABADI,1,1,0,,belum-diperiksa,,,,
TECHNER INDO RAYA,1,1,0,,belum-diperiksa,,,,
SIGMA KARYA BUANA,1,1,0,,belum-diperiksa,,,,
CV.BERNAS ANDALAN SEJATI,1,1,0,,belum-diperiksa,,,,
HIMALAYA AGRO INVESTAMA,1,1,0,,belum-diperiksa,,,,
NAKULA AGRI JAYA,1,1,0,,belum-diperiksa,,,,
PANCA MULYA TANIMAS LESTARI,1,1,0,,belum-diperiksa,,,,
AGRO LESTARINDO,1,1,0,,belum-diperiksa,,,,
PT AGRI MULTI LESTARI,1,1,0,,belum-diperiksa,,,,
BAROKAH ABADI TANI,1,1,0,,belum-diperiksa,,,,
DNA TECHNOLOGY INDUSTRI,1,1,0,,belum-diperiksa,,,,
ARTHA CHRISTA,1,1,0,,belum-diperiksa,,,,
CV AGRO SENTOSA ABADI,1,1,0,,belum-diperiksa,,,,
ANUGERAH DOLOMIT LESTARI,1,1,0,,belum-diperiksa,,,,
CV. LESTARI INTI AGRO,1,1,0,,belum-diperiksa,,,,
HIDAYAT BINTANG ASIA,1,1,0,,belum-diperiksa,,,,
MORAWA ORGANIK,1,1,0,,belum-diperiksa,,,,
PT Biodiversitas Bioteknologi Indonesia,1,1,0,,belum-diperiksa,,,,
TIGA KREASI BERSAMA,1,1,0,,belum-diperiksa,,,,
PT. BERKAT KARUNIA DAMAI,1,1,0,,belum-diperiksa,,,,
SAHABAT TANI TV,1,1,0,,belum-diperiksa,,,,
MEKAR SARI JAYA,1,1,0,,belum-diperiksa,,,,
ASPA SEMBILAN TUJUH FARMER INDUSTRY,1,1,0,,belum-diperiksa,,,,
INOVASI FERTILIZER GROWPLANT,1,1,0,,belum-diperiksa,,,,
CV. ZEO BENT INDONESIA,1,1,0,,belum-diperiksa,,,,
BHETOCHAR ENERGI NUSANTARA,1,1,0,,belum-diperiksa,,,,
YKB MERAH PUTIH,1,1,0,,belum-diperiksa,,,,
ANSELL AGRO INDONESIA,1,1,0,,belum-diperiksa,,,,
AGAPE SINAR NUSANTARA,1,1,0,,belum-diperiksa,,,,
BATARA SUBUR TANI,1,1,0,,belum-diperiksa,,,,
TIGA DARA JAYA,1,1,0,,belum-diperiksa,,,,
MONTREAL JAYA INDO,1,1,0,,belum-diperiksa,,,,
KUR AGRO LESTARI,1,1,0,,belum-diperiksa,,,,
SURYAPRATAMA CITRALESTARI,1,1,0,,belum-diperiksa,,,,
MUKTI GRAHA PERKASA,1,1,0,,belum-diperiksa,,,,
INDO FERT CORP,1,1,0,,belum-diperiksa,,,,
CV. Rimba Jaya,1,1,0,,belum-diperiksa,,,,
GRESIK GOLD BLESSING,1,1,0,,belum-diperiksa,,,,
LAHAN MAS MEKAR,1,1,0,,belum-diperiksa,,,,
PILAR LIMA,1,1,0,,belum-diperiksa,,,,
SEMBILAN JAYA ABADI RESOURCES,1,1,0,,belum-diperiksa,,,,
CV. Arta Putri,1,1,0,,belum-diperiksa,,,,
CV. PRIMA SAKTI,1,1,0,,belum-diperiksa,,,,
PT Bukit Mas Murti Persada,1,1,0,,belum-diperiksa,,,,
BERKAH BUMI BARU,1,1,0,,belum-diperiksa,,,,
NS CROPS ORGANIC,1,1,0,,belum-diperiksa,,,,
ALOVE BALI IND,1,1,0,,belum-diperiksa,,,,
JASARESI MANDIRI,1,1,0,,belum-diperiksa,,,,
PT. SETIA ALAM SINERGI,1,1,0,,belum-diperiksa,,,,
TRIASPUTRA AGRO MAJU SEJAHTERA,1,1,0,,belum-diperiksa,,,,
BUMI SRIWIJAYA INDONESIA,1,1,0,,belum-diperiksa,,,,
BERSAMA AGRI MAKMUR,1,1,0,,belum-diperiksa,,,,
PT Cipta Ulang Sumberdaya Indonesia,1,1,0,,belum-diperiksa,,,,
DEWI MURNI SAMPURNA,1,1,0,,belum-diperiksa,,,,
TRANS BUMI SUBUR SEJAHTERA,1,1,0,,belum-diperiksa,,,,
WIKA JAYA MANDIRI,1,1,0,,belum-diperiksa,,,,
UD Jonhson,1,1,0,,belum-diperiksa,,,,
DELTA GREEN ZONE,1,1,0,,belum-diperiksa,,,,
MAJJAMA AGRO INDUSTRI,1,1,0,,belum-diperiksa,,,,
MAKMUR JAYA ABADI,1,1,0,,belum-diperiksa,,,,
MEGA KIMIA INDUSTRI,1,1,0,,belum-diperiksa,,,,
PT Tunas Makmur Jaya Abadi,1,1,0,,belum-diperiksa,,,,
PT. AGROABADI MAKMUR PERSADA,1,1,0,,belum-diperiksa,,,,
MITRA TANINDO,1,1,0,,belum-diperiksa,,,,
DEWADARU KARYAUTAMA JAYA,1,1,0,,belum-diperiksa,,,,
INFINITI SUMBER ALAM,1,1,0,,belum-diperiksa,,,,
TUNAS LESTARI ALAM INDAH,1,1,0,,belum-diperiksa,,,,
PT.PRAMUDITA DARYA PARMA,1,1,0,,belum-diperiksa,,,,
LIBO FARMING,1,1,0,,belum-diperiksa,,,,
PT DYNAPHARM NUSANTARA GEMILANG,1,1,0,,belum-diperiksa,,,,
SAMOR ARGA MAKMUR,1,1,0,,belum-diperiksa,,,,
PT. Intidaya Agrolestari,1,1,0,,belum-diperiksa,,,,
CV.JABAL REZKI,1,1,0,,belum-diperiksa,,,,
ZENTIDE BIOTEKNOLOGI GLOBAL,1,1,0,,belum-diperiksa,,,,
CIWANGI NUTRISI TANAMAN,1,1,0,,belum-diperiksa,,,,
MAMORA MARTUA JAYA,1,1,0,,belum-diperiksa,,,,
ARJUNA GRESIK BUMI PERKASA,1,1,0,,belum-diperiksa,,,,
PT. NUSANTARA AGRO FARMA,1,1,0,,belum-diperiksa,,,,
"Tiara Kurnia, PT",1,1,0,,belum-diperiksa,,,,
TANATANI,1,1,0,,belum-diperiksa,,,,
CANTIGA,1,1,0,,belum-diperiksa,,,,
MANDIRI CEMERLANG ABADI,1,1,0,,belum-diperiksa,,,,
SEDAYA AGRO,1,1,0,,belum-diperiksa,,,,
PT UNGGUL SEJAHTERA PERTANIAN,1,1,0,,belum-diperiksa,,,,
PELITA SUSUN BENTANG ORGANIK,1,1,0,,belum-diperiksa,,,,
PT GLOBAL GROWTH,1,1,0,,belum-diperiksa,,,,
PRINALTIA JUNTA PERKASA,1,1,0,,belum-diperiksa,,,,
BELERANG GUNUNG KAWAH IJEN,1,1,0,,belum-diperiksa,,,,
INSAN LESTARI,1,1,0,,belum-diperiksa,,,,
MUNCUL BERKAH TANI,1,1,0,,belum-diperiksa,,,,
UD. HARAPAN ABADI,1,1,0,,belum-diperiksa,,,,
PABRIK GULA RAJAWALI I,1,1,0,,belum-diperiksa,,,,
PT. SEMESTA JAYA ABADI,1,1,0,,belum-diperiksa,,,,
ZAQ INDONESIA,1,1,0,,belum-diperiksa,,,,
SURYA SEMI SENTOSA,1,1,0,,belum-diperiksa,,,,
BIOKLANTEK NUSANTARA,1,1,0,,belum-diperiksa,,,,
PT. BIOGREEN AGRO NUSA,1,1,0,,belum-diperiksa,,,,
GEUSAN WIRA PERKASA,1,1,0,,belum-diperiksa,,,,
PRATAMA AGRO SENTOSA,1,1,0,,belum-diperiksa,,,,
DAVARI ANUGERAH SEJAHTERA,1,1,0,,belum-diperiksa,,,,
PT. Kemoza Mandiri Grup,1,1,0,,belum-diperiksa,,,,
WIRA ADHI SATYA PERTIWI,1,1,0,,belum-diperiksa,,,,
BUMI LAVANAA AGRO INDUSTRI,1,1,0,,belum-diperiksa,,,,
BIO BATARA JAYA,1,1,0,,belum-diperiksa,,,,
WILIS MULYO NUSWANTORO JOYO,1,1,0,,belum-diperiksa,,,,
PT TRI TUNGGAL ABADI MULIA,1,1,0,,belum-diperiksa,,,,
ARTHA BUANA,1,1,0,,belum-diperiksa,,,,
PROSPER MEGA NUSANTARA,1,1,0,,belum-diperiksa,,,,
INDOHAYATI AGRO SEJAHTERA,1,1,0,,belum-diperiksa,,,,
"""CAHYA SEJATI""",1,1,0,,belum-diperiksa,,,,
CV. Rahma Jaya,1,1,0,,belum-diperiksa,,,,
MZ MEDICAL,1,1,0,,belum-diperiksa,,,,
PT. BLANG THOEI LUAH,1,1,0,,belum-diperiksa,,,,
CV. Marson Syah,1,1,0,,belum-diperiksa,,,,
HABIBI PUTRA TANI,1,1,0,,belum-diperiksa,,,,
CV. BAROKAH ZA,1,1,0,,belum-diperiksa,,,,
PT. Catur HIdayah Lestari,1,1,0,,belum-diperiksa,,,,
NIVIDIA PRATAMA KHATULISTIWA,1,1,0,,belum-diperiksa,,,,
HAFISA ANUGERAH MAKMUR,1,1,0,,belum-diperiksa,,,,
DHARMA KARTAPURA,1,1,0,,belum-diperiksa,,,,
IKASHI SABDA AGUNG,1,1,0,,belum-diperiksa,,,,
NAVATI GEMILANG MANDIRI,1,1,0,,belum-diperiksa,,,,
TATANAN ALAM SEGAR,1,1,0,,belum-diperiksa,,,,
ARGO WIRA BUANA,1,1,0,,belum-diperiksa,,,,
ALAM MANFAAT BERKAH,1,1,0,,belum-diperiksa,,,,
IJO,1,1,0,,belum-diperiksa,,,,
SINAR JAYA SAE,1,1,0,,belum-diperiksa,,,,
BIO NUSA LESTARI,1,1,0,,belum-diperiksa,,,,
MUTIARA ZIOSOVIQ,1,1,0,,belum-diperiksa,,,,
RAMBATE RATAHAYU,1,1,0,,belum-diperiksa,,,,
CV. Dewi,1,1,0,,belum-diperiksa,,,,
SUMBER PANGAN GRESIK,1,1,0,,belum-diperiksa,,,,
KUDJANG PUTRA PRATAMA,1,1,0,,belum-diperiksa,,,,
ADHI MANGGALA,1,1,0,,belum-diperiksa,,,,
FAN JAYA MANUNGGAL,1,1,0,,belum-diperiksa,,,,
CV.AGROTANI,1,1,0,,belum-diperiksa,,,,
NAWASENA UNGGUL SANTOSA,1,1,0,,belum-diperiksa,,,,
PT. KARYA ALAM SUKSES,1,1,0,,belum-diperiksa,,,,
MADUBARU,1,1,0,,belum-diperiksa,,,,
PUTRA JAYA RAHARJA,1,1,0,,belum-diperiksa,,,,
SURYA NUSA PERKASA,1,1,0,,belum-diperiksa,,,,
HERKREASI,1,1,0,,belum-diperiksa,,,,
PETROKIMIA KEBOMAS GRESIK,1,1,0,,belum-diperiksa,,,,
CIPTA AGRO NUSANTARA,1,1,0,,belum-diperiksa,,,,
VALENTA JAYA BERSAMA,1,1,0,,belum-diperiksa,,,,
PT. LAJU PERSADA UTAMA,1,1,0,,belum-diperiksa,,,,
CV. RIAU AGROFERT,1,1,0,,belum-diperiksa,,,,
ANAGATA AGRO ABADI,1,1,0,,belum-diperiksa,,,,
ARINAKI MULIA BERSAMA,1,1,0,,belum-diperiksa,,,,
LINTANG BORNEO MANDIRI INDONESIA,1,1,0,,belum-diperiksa,,,,
TIMURAYA TUNGGAL,1,1,0,,belum-diperiksa,,,,
KUTAI AGROLESTARI MAKMUR,1,1,0,,belum-diperiksa,,,,
RIMBA ALAM NUSANTARA,1,1,0,,belum-diperiksa,,,,
CLEAN AND WELL PACK INDONESIA,1,1,0,,belum-diperiksa,,,,
PT. DAHLIAH DUTA UTAMA,1,1,0,,belum-diperiksa,,,,
BIN ZEIN AGRICULTURE,1,1,0,,belum-diperiksa,,,,
BERLIAN ANUGERAH JAYA,1,1,0,,belum-diperiksa,,,,
HUMACARE INDONESIA ABADI,1,1,0,,belum-diperiksa,,,,
HERDANIC AFDA DIHESA,1,1,0,,belum-diperiksa,,,,
CV. INDAH PRATAMA SARI,1,1,0,,belum-diperiksa,,,,
SEMANGAT BERSAMA ENTREPRENEURSHIP,1,1,0,,belum-diperiksa,,,,
ARMAFAN BAKTI SESAMA,1,1,0,,belum-diperiksa,,,,
LEGASI ALAM INDONESIA,1,1,0,,belum-diperiksa,,,,
"TANI JAYA, UD",1,1,0,,belum-diperiksa,,,,
CV. Gunung Dono Putra,1,1,0,,belum-diperiksa,,,,
CV. DELTA FORTUNA,1,1,0,,belum-diperiksa,,,,
ALAM SEMESTA TEKHNOVASI,1,1,0,,belum-diperiksa,,,,
BENATA,1,1,0,,belum-diperiksa,,,,
ANDALAS DOLOMIT SEJAHTERA,1,1,0,,belum-diperiksa,,,,
NUSANTARA TETAP JAYA,1,1,0,,belum-diperiksa,,,,
BASIMBAH TANI SYAHDILATA,1,1,0,,belum-diperiksa,,,,
AGRO MARITIM NUSANTARA,1,1,0,,belum-diperiksa,,,,
SUMBER MULYA GRAND ORGANIK,1,1,0,,belum-diperiksa,,,,
PT. Mitra Gresik Indonesia,1,1,0,,belum-diperiksa,,,,
EMIRA AGRITANI,1,1,0,,belum-diperiksa,,,,
ASIA PACIFIC MARKETING INTERNATIONAL,1,1,0,,belum-diperiksa,,,,
ASIA PACIFIC RAYON,1,1,0,,belum-diperiksa,,,,
CV. PONDANGI,1,1,0,,belum-diperiksa,,,,
DUTA AGRO LESTARI,1,1,0,,belum-diperiksa,,,,
CV. Argo Pundi Lestari,1,1,0,,belum-diperiksa,,,,
MAHKOTA JAYA RAYA,1,1,0,,belum-diperiksa,,,,
PUTRO JOYO GROUP,1,1,0,,belum-diperiksa,,,,
PT. POLOWIJO GRAHA NIAGA,1,1,0,,belum-diperiksa,,,,
TASMA PUJA,1,1,0,,belum-diperiksa,,,,
CV. BINA AGRO PACIFIC,1,1,0,,belum-diperiksa,,,,
BUMI MAKMUR,1,1,0,,belum-diperiksa,,,,
EKOTANI SINAR ANUGERAH,1,1,0,,belum-diperiksa,,,,
LAMPOH LADA,1,1,0,,belum-diperiksa,,,,
GROWING PLANTS INTERNASIONAL,1,1,0,,belum-diperiksa,,,,
ALAMI ORION AGROTAMA,1,1,0,,belum-diperiksa,,,,
CV. Sinar Agro Sejati,1,1,0,,belum-diperiksa,,,,
ENERGI AGRO NUSANTARA,1,1,0,,belum-diperiksa,,,,
NELAYAN INDONESIA JAYA,1,1,0,,belum-diperiksa,,,,
PT.ALL COSMOS INDONESIA,1,1,0,,belum-diperiksa,,,,
AGRONIKO NUSANTARA,1,1,0,,belum-diperiksa,,,,
DASA VAYU ALAM SARI,1,1,0,,belum-diperiksa,,,,
NETA AGRINDO SANTOSA,1,1,0,,belum-diperiksa,,,,
BIMA JAYA FARM,1,1,0,,belum-diperiksa,,,,
BANGBARA SADULUR MAKMUR,1,1,0,,belum-diperiksa,,,,
KOPERASI PRODUSEN BRAHMAN SEJAHTERA SUBANG,1,1,0,,belum-diperiksa,,,,
JAYA PERKASA,1,1,0,,belum-diperiksa,,,,
EVA SUKSES MAKMUR,1,1,0,,belum-diperiksa,,,,
DARMAWANGSA PUTRA,1,1,0,,belum-diperiksa,,,,
RAHMA JAYA BERSAMA,1,1,0,,belum-diperiksa,,,,
RIZKI FERTILA SEJAHTERA,1,1,0,,belum-diperiksa,,,,
PT Tri Dharma Internasional,1,1,0,,belum-diperiksa,,,,
CV. Putri Gresik,1,1,0,,belum-diperiksa,,,,
RODAME INDONESIA,1,1,0,,belum-diperiksa,,,,
PESONA HERBAL INDONESIA,1,1,0,,belum-diperiksa,,,,
KARYA MANUNGGAL JAYA,1,1,0,,belum-diperiksa,,,,
CV. AL HADID 20,1,1,0,,belum-diperiksa,,,,
BERKAH ALAM GEMILANG,1,1,0,,belum-diperiksa,,,,
HAYATI MAKMUR NUSANTARA,1,1,0,,belum-diperiksa,,,,
CV. Sejahtera Abadi,1,1,0,,belum-diperiksa,,,,
BIOTEK AGRI LESTARI,1,1,0,,belum-diperiksa,,,,
ARWANA TANI MAKMUR,1,1,0,,belum-diperiksa,,,,
TIRTA UTAMA GLOBAL,1,1,0,,belum-diperiksa,,,,
OMTEC PRIMA MANDIRI,1,1,0,,belum-diperiksa,,,,
MULIA REZEKI ABADI,1,1,0,,belum-diperiksa,,,,
PT. Agri Jaya Manggala,1,1,0,,belum-diperiksa,,,,
NUTRISI INDONESIA RAYA,1,1,0,,belum-diperiksa,,,,
TRIJAYA ANUGRAH SENTOSA,1,1,0,,belum-diperiksa,,,,
Yayasan Pemilahan Sampah Temesi,1,1,0,,belum-diperiksa,,,,
DHARMA PERTIWI,1,1,0,,belum-diperiksa,,,,
PT.LINTAS INDO SEJAHTERA,1,1,0,,belum-diperiksa,,,,
BIO DITA ORGANIK,1,1,0,,belum-diperiksa,,,,
GREEN PHOSKA SEJAHTERA,1,1,0,,belum-diperiksa,,,,
CV. CEMIKA OPTIMA,1,1,0,,belum-diperiksa,,,,
PT. TIMUR ALAM RAYA,1,1,0,,belum-diperiksa,,,,
PT. BIO INOVASINDO HAYATI,1,1,0,,belum-diperiksa,,,,
PT.Madura Guano,1,1,0,,belum-diperiksa,,,,
KELOMPOK USAHA BERSAMA SIDO TENTREM,1,1,0,,belum-diperiksa,,,,
KUMISIK BERKAH SEJAHTERA,1,1,0,,belum-diperiksa,,,,
TRI MITRA AGRO UTAMA,1,1,0,,belum-diperiksa,,,,
SUPER GRADE ROSINDO,1,1,0,,belum-diperiksa,,,,
MAHAJAYA MULTI SINERGI,1,1,0,,belum-diperiksa,,,,
PT. Hikari Agro Indonesia,1,1,0,,belum-diperiksa,,,,
SAF AGRO JAYA,1,1,0,,belum-diperiksa,,,,
PT DIANATA ADIKARYA SENTOSA,1,1,0,,belum-diperiksa,,,,
COKRO JOYO PASTI CUAN,1,1,0,,belum-diperiksa,,,,
SOLUSI AGRONUSA PRATAMA,1,1,0,,belum-diperiksa,,,,
MINERAL JAYA ALAM NUSANTARA,1,1,0,,belum-diperiksa,,,,
SURYA BUMI ADILMAKMUR,1,1,0,,belum-diperiksa,,,,
SIMAR ALAM BERKAH,1,1,0,,belum-diperiksa,,,,
CV BIO SENTRATAMA,1,1,0,,belum-diperiksa,,,,
ESA ILHAM PERSADA,1,1,0,,belum-diperiksa,,,,
MARCO JAYA SEJAHTERA,1,1,0,,belum-diperiksa,,,,
MITRA TEMASEK NUSANTARA,1,1,0,,belum-diperiksa,,,,
AURORA SABANGSATIA,1,1,0,,belum-diperiksa,,,,
BAKAPINDO,1,1,0,,belum-diperiksa,,,,
PT. SURYA PRATAMA ALAM,1,1,0,,belum-diperiksa,,,,
CIPTA MAKMUR BERSAMA,1,1,0,,belum-diperiksa,,,,
PT.BINTANG ANANDA MANDIRI,1,1,0,,belum-diperiksa,,,,
EMINEN GLOBALINDO RAYA,1,1,0,,belum-diperiksa,,,,
PT. ADAMAS ASABHUMI,1,1,0,,belum-diperiksa,,,,
SENTRA PETERNAKAN RAKYAT (SPR),1,1,0,,belum-diperiksa,,,,
CV. Organic Farming Indonesia,1,1,0,,belum-diperiksa,,,,
MADA PUTRA NUSANTARA,1,1,0,,belum-diperiksa,,,,
AGROTIS GAIA INDONESIA,1,1,0,,belum-diperiksa,,,,
ULI AGRO MAKMUR,1,1,0,,belum-diperiksa,,,,
EBISU GLOBALTRADING INDONESIA,1,1,0,,belum-diperiksa,,,,
CAKRA DHARMA USAHA,1,1,0,,belum-diperiksa,,,,
SAUNG AGRO NUSANTARA,1,1,0,,belum-diperiksa,,,,
BIAN JAYA MAKMUR,1,1,0,,belum-diperiksa,,,,
MAJU JAYA,1,1,0,,belum-diperiksa,,,,
JENGGONG MAGTASIDA GRUP,1,1,0,,belum-diperiksa,,,,
PT. Saribumi Dewatalestari,1,1,0,,belum-diperiksa,,,,
REGENERASI KEHIDUPAN NUSANTARA,1,1,0,,belum-diperiksa,,,,
PT BANDUNG ECO SINERGI TEKNOLOGI,1,1,0,,belum-diperiksa,,,,
SHINAMJAYA ABADI,1,1,0,,belum-diperiksa,,,,
NAZRAH AGRO MANDIRI,1,1,0,,belum-diperiksa,,,,
TIARA AGRO HITA KENCANA,1,1,0,,belum-diperiksa,,,,
KRISNA CAKRA CYRILLA,1,1,0,,belum-diperiksa,,,,
PALAPA GRESIK,1,1,0,,belum-diperiksa,,,,
PANGAN INDO MAJU ABADI,1,1,0,,belum-diperiksa,,,,
PT. Anugerah Sarana Hayati,1,1,0,,belum-diperiksa,,,,
PT. Sri Munarti Supakat Indoputra,1,1,0,,belum-diperiksa,,,,
BUKIT KAPUR ALAM RAYA,1,1,0,,belum-diperiksa,,,,
CV. ANUGERAH BERSAMA,1,1,0,,belum-diperiksa,,,,
INOVASI ANAK INDONESIA,1,1,0,,belum-diperiksa,,,,
AGROCHEM MEGA GLOBALINDO,1,1,0,,belum-diperiksa,,,,
CITRA ANUGRAH MALINOTAMA,1,1,0,,belum-diperiksa,,,,
AGRO GALBA RABUKA,1,1,0,,belum-diperiksa,,,,
BUMI SUBUR RIZQUNA,1,1,0,,belum-diperiksa,,,,
PT. BIOTEK AGRO INDONESIA,1,1,0,,belum-diperiksa,,,,
PERSADA HIJAU,1,1,0,,belum-diperiksa,,,,
CV. Satria Jaya,1,1,0,,belum-diperiksa,,,,
SUMINDO,1,1,0,,belum-diperiksa,,,,
HARVEST BERKAH ABADI,1,1,0,,belum-diperiksa,,,,
AGRO INVESTAMA LESTARI,1,1,0,,belum-diperiksa,,,,
PUPUK AGRO JAYA,1,1,0,,belum-diperiksa,,,,
PUTRA KURNIA MAS,1,1,0,,belum-diperiksa,,,,
PT KIBO AGRI JAYA,1,1,0,,belum-diperiksa,,,,
MAHA DWIPA NUSANTARA,1,1,0,,belum-diperiksa,,,,
SEPAKAT GLOBAL,1,1,0,,belum-diperiksa,,,,
MAKMUR BUMI ABADI,1,1,0,,belum-diperiksa,,,,
NIRANKARA MAKMUR AGRO,1,1,0,,belum-diperiksa,,,,
TAWANG AGRO FARM,1,1,0,,belum-diperiksa,,,,
PESONA PETANI NUSANTARA,1,1,0,,belum-diperiksa,,,,
GALIH JATI,1,1,0,,belum-diperiksa,,,,
TIMAN AGUNG,1,1,0,,belum-diperiksa,,,,
BANGKIT SOLUSI AGRINDO,1,1,0,,belum-diperiksa,,,,
HARI AGRO HAYATI,1,1,0,,belum-diperiksa,,,,
LOBO KRIS UNIKKA,1,1,0,,belum-diperiksa,,,,
ASA MANDIRI SEJAHTERA,1,1,0,,belum-diperiksa,,,,
TARUM SINERGI INDONESIA,1,1,0,,belum-diperiksa,,,,
MULIA AGRO SEJAHTERA,1,1,0,,belum-diperiksa,,,,
CV. Bulaksari Farm,1,1,0,,belum-diperiksa,,,,
CIPTA USAHA SANTOSA,1,1,0,,belum-diperiksa,,,,
CV. SUBURI PUTRA MANDIRI,1,1,0,,belum-diperiksa,,,,
CV. HANGSON,1,1,0,,belum-diperiksa,,,,
CIHURIP AGRO NUSA,1,1,0,,belum-diperiksa,,,,
TANIKITA BERKAH,1,1,0,,belum-diperiksa,,,,
MITRA TERBAIK NUSANTARA,1,1,0,,belum-diperiksa,,,,
PT. Aneka Nutrisi Global Indonesia,1,1,0,,belum-diperiksa,,,,
LOH JINAWI AKSHAYA,1,1,0,,belum-diperiksa,,,,
CV.PRATAMA LESTARI,1,1,0,,belum-diperiksa,,,,
BARATAYUDA AGRO TANI,1,1,0,,belum-diperiksa,,,,
SUMBER ALAM REJEKI,1,1,0,,belum-diperiksa,,,,
RJ MANDIRI,1,1,0,,belum-diperiksa,,,,
PT. Persada Pupuk Indonesia,1,1,0,,belum-diperiksa,,,,
TAN TJUN HOA/UD. NAGA MAS SAKTI,1,1,0,,belum-diperiksa,,,,
CV. Wahana Putra Mandiri,1,1,0,,belum-diperiksa,,,,
AGRO RIZVIK PRADANA,1,1,0,,belum-diperiksa,,,,
ULTRAMIC INDONESIA,1,1,0,,belum-diperiksa,,,,
SEMULUR JAYA MAKMUR,1,1,0,,belum-diperiksa,,,,
CV. INDO SAMADA,1,1,0,,belum-diperiksa,,,,
PT ISARU TEKNOLOGI NUSANTARA,1,1,0,,belum-diperiksa,,,,
BIO HARUN INDONESIA,1,1,0,,belum-diperiksa,,,,
INAMAS ANUGERAH SEMESTA,1,1,0,,belum-diperiksa,,,,
TOKYO DELAPAN INDONESIA,1,1,0,,belum-diperiksa,,,,
PT. PLANTSAFE FERTILIZER INDONESIA,1,1,0,,belum-diperiksa,,,,
ALAMO GREENLIFE INTERNATIONAL,1,1,0,,belum-diperiksa,,,,
INOVASI NAGA LAUT BIRU,1,1,0,,belum-diperiksa,,,,
RICH DIGITAL NATURE,1,1,0,,belum-diperiksa,,,,
MOZAIKS JAYA MAKMUR,1,1,0,,belum-diperiksa,,,,
BERKAH FIQRI KERINCI,1,1,0,,belum-diperiksa,,,,
AGRO MUSTIKA ABADI,1,1,0,,belum-diperiksa,,,,
DAESANG INGREDIENTS INDONESIA,1,1,0,,belum-diperiksa,,,,
DEDANDU UTAMA,1,1,0,,belum-diperiksa,,,,
PADI DAMAI BALI,1,1,0,,belum-diperiksa,,,,
INOVASI TANI ALHIDAYAH GORONTALO,1,1,0,,belum-diperiksa,,,,
OMYA DISTRIBUTION INDONESIA,1,1,0,,belum-diperiksa,,,,
SARI JAYA AGRO,1,1,0,,belum-diperiksa,,,,
BADAN USAHA MILIK PETANI (BUMP) PT. PENGAYOM TANI SEJAGAD,1,1,0,,belum-diperiksa,,,,
IJO INOVASI INDONESIA,1,1,0,,belum-diperiksa,,,,
MITRA SABDA,1,1,0,,belum-diperiksa,,,,
AKHTARINDO CHEMICAL SPECIALIST,1,1,0,,belum-diperiksa,,,,
GLOBAL NUTRI AGRINUSA,1,1,0,,belum-diperiksa,,,,
CV. BERKAH MAKMUR NUSANTARA,1,1,0,,belum-diperiksa,,,,
BUMI ASIH LELUHUR,1,1,0,,belum-diperiksa,,,,
PT. TANCIMAS WISIN JAYA,1,1,0,,belum-diperiksa,,,,
AGRO UNGGUL,1,1,0,,belum-diperiksa,,,,
AGAR SARI JAYA,1,1,0,,belum-diperiksa,,,,
KOPERASI KONSUMEN KSM SEHAT SEJAHTERA,1,1,0,,belum-diperiksa,,,,
